,name,size,monster_type,alignment,ac,hp,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,senses,languages,cr,str_save,dex_save,con_save,int_save,wis_save,cha_save,speed,swim,fly,climb,burrow,number_legendary_actions,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,info,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,legend_action_1,legend_action_2,legend_action_3,legend_action_4,legend_action_5
27,Archmage,Medium,Humanoid (any race),any alignment,12,99,10,0,14,2,12,1,20,5,15,2,16,3,passive Perception 12,Any Six Languages,12,,,,+9,+6,,30,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,"Magic Resistance. The archmage has advantage on saving throws against spells and other magical effects. | Spellcasting. The archmage is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The archmage can cast disguise self and invisibility at will and has the following wizard spells prepared: • Cantrips (at will): fire bolt, light, mage hand, prestidigitation, shocking grasp • 1st level (4 slots): detect magic, identify, mage armor*, magic missile • 2nd level (3 slots): detect thoughts, mirror image, misty step • 3rd level (3 slots): counterspell,fly, lightning bolt • 4th level (3 slots): banishment, fire shield, stoneskin* • 5th level (3 slots): cone of cold, scrying, wall of force • 6th level (1 slot): globe of invulnerability • 7th level (1 slot): teleport • 8th level (1 slot): mind blank* • 9th level (1 slot): time stop * The archmage casts these spells on itself before combat.","Dagger. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (1d4 + 2) piercing damage.","Dagger. Ranged Weapon Attack: +6 to hit, reach 20/60 ft., one target. Hit: (1d4 + 2) piercing damage.",,,,,,,,,,,,,
28,Assassin,Medium,Humanoid (any race),any non-good alignment,15,78,11,0,16,3,14,2,13,1,11,0,10,0,passive Perception 13,Thieves' Cant Plus Any Two Languages,8,,+6,,+4,,,30,0,0,0,0,0,0,3,9,0,0,3,0,0,6,0,0,"Assassinate. During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit. | Evasion. If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. | Sneak Attack (1/Turn). The assassin deals an extra 13 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 ft. of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.",Multiattack. The assassin makes two shortsword attacks.,"Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (1d6 + 3) piercing damage plus (7d6)poison damage. The target must make a DC 15 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one.","Light Crossbow. Ranged Weapon Attack: +6 to hit, reach 80/320 ft., one target. Hit: (1d8 + 3) piercing damage plus (7d6)poison damage. The target must make a DC 15 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,,
29,Awakened Shrub,Small,Plant,unaligned,9,10,3,-4,8,-1,11,0,10,0,10,0,6,-2,passive Perception 10,One Language Known By Its Creator,0,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False Appearance. While the shrub remains motionless, it is indistinguishable from a normal shrub.","Rake. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: (1d4 - 1) slashing damage.",,,,,,,,,,,,,,
30,Awakened Tree,Huge,Plant,unaligned,13,59,19,4,6,-2,15,2,10,0,10,0,7,-2,passive Perception 10,One Language Known By Its Creator,2,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False Appearance. While the tree remains motionless, it is indistinguishable from a normal tree.","Slam. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: (3d6 + 4) bludgeoning damage.",,,,,,,,,,,,,,
31,Axe Beak,Large,Beast,unaligned,11,19,14,2,12,1,12,1,2,-4,10,0,5,-3,,,1/4,,,,,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d8 + 2) slashing damage.",,,,,,,,,,,,,,
32,Azer,Medium,Elemental,lawful neutral,17,39,17,3,12,1,15,2,12,1,13,1,10,0,passive Perception 11,Ignan,2,,,+4,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Heated Body. A creature that touches the azer or hits it with a melee attack while within 5 ft. of it takes 5 (1d10) fire damage. | Heated Weapons. When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack). | Illumination. The azer sheds bright light in a 10-foot radius and dim light for an additional 10 ft..","Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d10 + 3) bludgeoning damage plus (1d6)fire damage. two handed","Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d8 + 3) bludgeoning damage plus (1d6)fire damage. one handed",,,,,,,,,,,,,
33,Baboon,Small,Beast,unaligned,12,3,8,-1,14,2,11,0,4,-3,12,1,6,-2,,,0,,,,,,,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 ft. of the creature and the ally isn't incapacitated.,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: (1d4 - 1) piercing damage.",,,,,,,,,,,,,,
34,Badger,Tiny,Beast,unaligned,10,3,4,-3,11,0,12,1,2,-4,12,1,5,-3,,,0,,,,,,,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell.,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: (1d1) piercing damage.",,,,,,,,,,,,,,
35,Balor,Huge,Fiend (demon),chaotic evil,19,262,26,8,15,2,22,6,20,5,16,3,22,6,"Truesight 120 Ft., passive Perception 13","Abyssal, Telepathy 120 Ft.",19,+14,,+12,,+9,+12,40,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Death Throes. When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons. | Fire Aura. At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage. | Magic Resistance. The balor has advantage on saving throws against spells and other magical effects. | Magic Weapons. The balor's weapon attacks are magical.",Multiattack. The balor makes two attacks: one with its longsword and one with its whip.,"Longsword. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: (3d8 + 8) slashing damage plus (3d8)lightning damage. If the balor scores a critical hit, it rolls damage dice three times, instead of twice","Whip. Melee Weapon Attack: +14 to hit, reach 30 ft., one target. Hit: (2d6 + 8) slashing damage plus (3d6)fire damage. The target must succeed on a dc 20 strength saving throw or be pulled up to 25 feet toward the balor","Teleport. The balor magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.",,,,,,,,,,,
36,Bandit,Medium,Humanoid (any race),any non-lawful alignment,12,11,11,0,12,1,12,1,10,0,10,0,10,0,,Any One Language (Usually Common),1/8,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d6 + 1) slashing damage.","Light Crossbow. Ranged Weapon Attack: +3 to hit, reach 80/320 ft., one target. Hit: (1d8 + 1) piercing damage.",,,,,,,,,,,,,
37,Bandit Captain,Medium,Humanoid (any race),any non-lawful alignment,15,65,15,2,16,3,14,2,14,2,11,0,14,2,passive Perception 10,Any Two Languages,2,+4,+5,,,+2,,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,,Multiattack. The captain makes three melee attacks: two with its scimitar and one with its dagger. Or the captain makes two ranged attacks with its daggers.,"Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d6 + 3) slashing damage.","Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d4 + 3) piercing damage.","Dagger. Ranged Weapon Attack: +5 to hit, reach 20/60 ft., one target. Hit: (1d4 + 3) piercing damage.",Reactions,"Parry. The captain adds 2 to its AC against one melee attack that would hit it. To do so, the captain must see the attacker and be wielding a melee weapon.",,,,,,,,,
38,Barbed Devil,Medium,Fiend (devil),lawful evil,15,110,16,3,17,3,18,4,12,1,14,2,14,2,"Darkvision 120 Ft., passive Perception 18","Infernal, Telepathy 120 Ft.",5,+6,,+7,,+5,+5,30,0,0,0,0,0,0,8,0,0,5,5,0,0,0,0,0,"Barbed Hide. At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it. | Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice.","Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (1d6 + 3) piercing damage.","Tail. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (2d6 + 3) piercing damage.","Hurl Flame. Ranged Spell Attack: +5 to hit, reach 150 ft., one target. Hit: (3d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire",,,,,,,,,,,
39,Basilisk,Medium,Monstrosity,unaligned,15,52,16,3,8,-1,15,2,2,-4,8,-1,7,-2,,,3,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Petrifying Gaze. If a creature starts its turn within 30 ft. of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic. | A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save. | If the basilisk sees its reflection within 30 ft. of it in bright light, it mistakes itself for a rival and targets itself with its gaze.","Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (2d6 + 3) piercing damage plus (2d6)poison damage.",,,,,,,,,,,,,,
40,Bat,Tiny,Beast,unaligned,12,1,2,-4,15,2,8,-1,2,-4,12,1,4,-3,,,0,,,,,,,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echolocation. The bat can't use its blindsight while deafened. | Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing.,"Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: (1d1) piercing damage.",,,,,,,,,,,,,,
41,Bearded Devil,Medium,Fiend (devil),lawful evil,13,52,16,3,15,2,15,2,9,-1,11,0,11,0,"Darkvision 120 Ft., passive Perception 10","Infernal, Telepathy 120 Ft.",3,+5,,+4,,+2,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects. | Steadfast. The devil can't be frightened while it can see an allied creature within 30 feet of it.,Multiattack. The devil makes two attacks: one with its beard and one with its glaive.,"Beard. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: (1d8 + 2) piercing damage. The target must succeed on a dc 12 constitution saving throw or be poisoned for 1 minute While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success","Glaive. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: (1d10 + 3) slashing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 5 (1d10). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing",,,,,,,,,,,,
42,Behir,Huge,Monstrosity,neutral evil,17,168,23,6,16,3,18,4,7,-2,14,2,12,1,"Darkvision 90 Ft., passive Perception 16",Draconic,11,,,,,,,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,Multiattack. The behir makes two attacks: one with its bite and one to constrict.,"Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: (3d10 + 6) piercing damage.","Constrict. Melee Weapon Attack: +10 to hit, reach 5 ft., one large or smaller creature. Hit: (2d10 + 6) bludgeoning damage plus (2d10 + 6)slashing damage. The target is grappled (escape DC 16) if the behir isn't already constricting a creature, and the target is restrained until this grapple ends","Lightning Breath (Recharge 5-6). The behir exhales a line of lightning that is 20 ft. long and 5 ft. wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.","Swallow. The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir's turns. A behir can have only one creature swallowed at a time.","If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 ft. of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 ft. of movement, exiting prone.",,,,,,,,,
43,Berserker,Medium,Humanoid (any race),any chaotic alignment,13,67,16,3,12,1,17,3,9,-1,11,0,9,-1,,Any One Language (Usually Common),2,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reckless. At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.","Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d12 + 3) slashing damage.",,,,,,,,,,,,,,
44,Black Bear,Medium,Beast,unaligned,11,19,15,2,10,0,14,2,2,-4,12,1,7,-2,,,1/2,,,,,,,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.,Multiattack. The bear makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d6 + 2) piercing damage.","Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (2d4 + 2) slashing damage.",,,,,,,,,,,,
45,Black Dragon Wyrmling,Medium,Dragon,chaotic evil,17,33,15,2,14,2,13,1,10,0,11,0,13,1,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,2,,+4,+3,,+2,+3,30,30,60,0,0,0,0,4,4,0,0,0,0,0,0,0,0,Amphibious. The dragon can breathe air and water.,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d10 + 2) piercing damage plus (1d4)acid damage.","Acid Breath (Recharge 5-6). The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (5d8) acid damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,,,
46,Black Pudding,Large,Ooze,unaligned,7,85,16,3,5,-3,16,3,1,-5,6,-2,1,-5,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8",,4,,,,,,,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amorphous. The pudding can move through a space as narrow as 1 inch wide without squeezing. | Corrosive Form. A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round. | Spider Climb. The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d6 + 3) bludgeoning damage plus (4d8)acid damage. In addition, nonmagical armor worn by the target is partly dissolved and takes a permanent and cumulative -1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10",Reactions,"Split. When a pudding that is Medium or larger is subjected to lightning or slashing damage, it splits into two new puddings if it has at least 10 hit points. Each new pudding has hit points equal to half the original pudding's, rounded down. New puddings are one size smaller than the original pudding.",,,,,,,,,,,,
47,Blink Dog,Medium,Fey,lawful good,13,22,12,1,17,3,12,1,10,0,13,1,11,0,passive Perception 10,"Blink Dog, Understands Sylvan But Can't Speak It",1/4,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keen Hearing and Smell. The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d6 + 1) piercing damage.","Teleport (Recharge 4-6). The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 ft. to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.",,,,,,,,,,,,,
48,Blood Hawk,Small,Beast,unaligned,12,7,6,-2,14,2,10,0,3,-4,14,2,5,-3,passive Perception 14,,1/8,,,,,,,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight. | Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 ft. of the creature and the ally isn't incapacitated.,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d4 + 2) piercing damage.",,,,,,,,,,,,,,
49,Blue Dragon Wyrmling,Medium,Dragon,lawful evil,17,52,17,3,10,0,15,2,12,1,11,0,15,2,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,3,,+2,+4,,+2,+4,30,0,60,0,15,0,0,4,2,0,0,0,0,0,0,0,0,,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d10 + 3) piercing damage plus (1d6)lightning damage.","Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,,,
50,Boar,Medium,Beast,unaligned,11,11,13,1,11,0,12,1,2,-4,9,-1,5,-3,,,1/4,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Charge. If the boar moves at least 20 ft. straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. | Relentless (Recharges after a Short or Long Rest). If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.","Tusk. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d6 + 1) slashing damage.",,,,,,,,,,,,,,
51,Bone Devil,Large,Fiend (devil),lawful evil,19,142,18,4,16,3,18,4,13,1,14,2,16,3,"Darkvision 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",9,,,,+5,+6,+7,40,0,40,0,0,0,0,0,0,0,6,7,0,0,0,0,0,Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,Multiattack. The devil makes three attacks: two with its claws and one with its sting.,"Claw. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: (1d8 + 4) slashing damage.","Sting. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: (2d8 + 4) piercing damage plus (5d6)poison damage. The target must succeed on a dc 14 constitution saving throw or become poisoned for 1 minute The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success",,,,,,,,,,,,
52,Brass Dragon Wyrmling,Medium,Dragon,chaotic good,16,16,15,2,10,0,13,1,10,0,11,0,13,1,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,1,,+2,+3,,+2,+3,30,0,60,0,15,0,0,4,2,0,0,0,0,0,0,0,0,,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d10 + 2) piercing damage.",Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.,"Fire Breath. The dragon exhales fire in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one.",Sleep Breath. The dragon exhales sleep gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 minute. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.,,,,,,,,,,,
53,Bronze Dragon Wyrmling,Medium,Dragon,lawful good,17,32,17,3,10,0,15,2,12,1,11,0,15,2,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,2,,+2,+4,,+2,+4,30,30,60,0,0,0,0,4,2,0,0,0,0,0,0,0,0,Amphibious. The dragon can breathe air and water.,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d10 + 3) piercing damage.",Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.,"Lightning Breath. The dragon exhales lightning in a 40-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 16 (3d10) lightning damage on a failed save, or half as much damage on a successful one.","Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 12 Strength saving throw. On a failed save, the creature is pushed 30 feet away from the dragon.",,,,,,,,,,,
54,Brown Bear,Large,Beast,unaligned,11,34,19,4,10,0,16,3,2,-4,13,1,7,-2,passive Perception 13,,1,,,,,,,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.,Multiattack. The bear makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d8 + 4) piercing damage.","Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (2d6 + 4) slashing damage.",,,,,,,,,,,,
55,Bugbear,Medium,Humanoid (goblinoid),chaotic evil,16,27,15,2,14,2,13,1,8,-1,11,0,9,-1,"Darkvision 60 Ft., passive Perception 10","Common, Goblin",1,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack). | Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.","Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (2d8 + 2) piercing damage.","Javelin. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (2d6 + 2) piercing damage.","Javelin. Ranged Weapon Attack: +4 to hit, reach 30/120 ft., one target. Hit: (1d6 + 2) piercing damage.",,,,,,,,,,,,
56,Bulette,Large,Monstrosity,unaligned,17,94,19,4,11,0,21,5,2,-4,10,0,5,-3,"Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 16",,5,,,,,,,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,"Standing Leap. The bulette's long jump is up to 30 ft. and its high jump is up to 15 ft., with or without a running start.","Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: (4d12 + 4) piercing damage.","Deadly Leap. If the bulette jumps at least 15 ft. as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 ft. out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.",,,,,,,,,,,,,
57,Camel,Large,Beast,unaligned,9,15,16,3,8,-1,14,2,2,-4,8,-1,5,-3,,,1/8,,,,,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d4) bludgeoning damage.",,,,,,,,,,,,,,
58,Cat,Tiny,Beast,unaligned,12,2,3,-4,15,2,10,0,3,-4,12,1,7,-2,passive Perception 13,,0,,,,,,,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell.,"Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: (1d1) slashing damage.",,,,,,,,,,,,,,
59,Centaur,Large,Monstrosity,neutral good,12,45,18,4,14,2,14,2,9,-1,13,1,11,0,passive Perception 13,"Elvish, Sylvan",2,,,,,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Charge. If the centaur moves at least 30 ft. straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.",Multiattack. The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.,"Pike. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: (1d10 + 4) piercing damage.","Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (2d6 + 4) bludgeoning damage.","Longbow. Ranged Weapon Attack: +4 to hit, reach 150/600 ft., one target. Hit: (1d8 + 2) piercing damage.",,,,,,,,,,,
60,Chain Devil,Medium,Fiend (devil),lawful evil,16,85,18,4,15,2,18,4,11,0,12,1,14,2,"Darkvision 120 Ft., passive Perception 8","Infernal, Telepathy 120 Ft.",8,,,+7,,+4,+5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,Multiattack. The devil makes two attacks with its chains.,"Chain. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: (2d6 + 4) slashing damage. The target is grappled (escape DC 14) if the devil isn't already grappling a creature. Until this grapple ends, the target is restrained and takes 7 (2d6) piercing damage at the start of each of its turns","Animate Chains (Recharges after a Short or Long Rest). Up to four chains the devil can see within 60 feet of it magically sprout razor-edged barbs and animate under the devil's control, provided that the chains aren't being worn or carried. Each animated chain is an object with AC 20, 20 hit points, resistance to piercing damage, and immunity to psychic and thunder damage. When the devil uses Multiattack on its turn, it can use each animated chain to make one additional chain attack. An animated chain can grapple one creature of its own but can't make attacks while grappling. An animated chain reverts to its inanimate state if reduced to 0 hit points or if the devil is incapacitated or dies.",Reactions,"Unnerving Mask. When a creature the devil can see starts its turn within 30 feet of the devil, the devil can create the illusion that it looks like one of the creature's departed loved ones or bitter enemies. If the creature can see the devil, it must succeed on a DC 14 Wisdom saving throw or be frightened until the end of its turn.",,,,,,,,,,
